,0
0, Nusrat Jahan Ruhi 
1, Khan Saumitra 
2, Kanimozhi Karunanidhi 
3, Sisir Kumar Adhikari 
4,  Pratap Chandra Sarangi 
5, Mohammad Akbar Lone 
6, Parbatbhai Savabhai Patel 
7, Kavitha Maloth 
8, Arvind Ganpat Sawant 
9, Locket Chatterjee 
10, Shrirang Appa Barne 
11, Ramesh Chander Kaushik 
12, Satish Kumar Gautam 
13,  Shri Rahul Ramesh Shewale 
14, Dhanush M Kumar 
15, Dayakar Pasunoori 
16, E. T. Mohammed Basheer 
17, Sudip Bandyopadhyay 
18, Rajiv Ranjan (Lalan) Singh 
19, Nama Nageswara Rao 
20, Dhairyasheel  S. Mane 
21, Amar Singh 
22, Satabdi Roy (Banerjee) 
23, Vishnu Datt Sharma 
24, Ramulu Pothuganti 
25, Balashowry Vallabbhaneni 
26, Sunil Kumar Mondal 
27, Jagdambika Pal 
28, Rajan Baburao Vichare 
29, Shashi Tharoor 
30, Rajan Baburao Vichare 
31, C. Lalrosanga 
32, Umesh G. Jadhav 
33, Gyaneshwar Patil 
34, Maddila Gurumoorthy 
35, Suresh Kumar Kashyap 
36, Lorho S. Pfoze 
37, Smriti Zubin Irani 
38, Balashowry Vallabbhaneni 
39, P. C. Mohan 
40, Chandra Sekhar Bellana 
41, Chunni Lal Sahu 
42, Thalikkottai Rajuthevar Baalu 
43, Shyam Singh Yadav 
44, Chandra Sekhar Sahu 
45," Dinesh Lal ""Nirahua"" Yadav "
46, Jyotsna Charandas Mahant 
47, Sudarshan Bhagat 
48, Jayanta Kumar Roy 
49, Jaswantsinh Sumanbhai Bhabhor 
50, S. Jagathrakshakan 
51, Ghanshyam Singh Lodhi 
52, Francisco Cosme Sardinha 
53, Dhal Singh Bisen 
54, Kotha Prabhakar Reddy 
55, Anurag Sharma 
56, Pradeep Kumar Chaudhary 
57,  Shri Ramshiromani Verma 
58, Sajda Ahmed 
59, Sunny Deol 
60, Sudarshan Bhagat 
61, Guharam Ajgalley 
62, Sajda Ahmed 
63, Mala Rajya Laxmi Shah 
64, Abdussamad Samadani 
65, Hanuman Beniwal 
66, Ranjan Singh Rajkumar 
67,  Rao Inderjit Singh 
68, Kani K. Navas 
69, K. Shanmuga Sundaram 
70, K. Jayakumar 
71, Sunil Kumar Singh 
72, Pocha Brahmananda Reddy 
73, Bishweswar Tudu 
74, Bache Gowda B.N. 
75, Rajendra Agrawal 
76, Malook Nagar 
77, Praveen Kumar Nishad 
78, Ranjeetsinha Hindurao Naik-Nimbalkar 
79, Khagen Murmu 
80, Queen Oja 
81, Jamyang Tsering Namgyal 
82, Ashok Mahadeorao Nete 
