,0
0, Shri Anthiyur P. Selvarasu 
1, Shri Sanjay Singh 
2, Ms. Saroj Pandey 
3, Dr. Anil Jain 
4, Shri Hishey Lachungpa 
5, Shri Neeraj Shekhar 
6, Shri Jyotiraditya M. Scindia 
7, Shri Narayan Rane 
8, Shri H.D. Devegowda 
9, Shri Sharad Pawar 
10, Shri Satish Chandra Dubey 
11, Shri Harnath Singh Yadav 
12, Prof. Ram Gopal Yadav 
13, Shri Ashwini Vaishnaw 
14, Dr. Ashok Bajpai 
15, Shri Sanjay Raut 
16, Shri  Kanakamedala Ravindra Kumar 
17, Dr. V. Sivadasan 
18, Dr. Kirodi Lal Meena 
19, Dr. Sudhanshu Trivedi 
20, Shri Ram Nath Thakur 
21, Shri Hardeep Singh Puri 
22, Shri  Ramji 
23, Shri Anil Baluni 
24, Shri Tiruchi Siva 
25, Shri Jose K. Mani 
26, Shri Prakash Javadekar 
27, Shri Ilaiyaraaja  
28, Dr. Manmohan Singh 
29, Dr. Anbumani Ramadoss 
30, Dr. L. Hanumanthaiah 
31, Shri Shibu Soren 
32, Dr. Amar Patnaik 
33, Shri Rajeev Chandrasekhar 
34, Shri Sujeet Kumar 
35, Shri Mansukh Mandaviya 
36, Shri Neeraj Shekhar 
37, Shri B. Parthasaradhi Reddy 
38, Dr. Anil Jain 
39, Shri  Ram Shakal 
40, Dr. Fauzia Khan 
41, Shri Hishey Lachungpa 
42, Shri John Brittas 
43, Shri Luizinho Joaquim Faleiro 
44, Shri Jyotiraditya M. Scindia 
45, Shri Prabhakar Reddy Vemireddy 
46, Shri Bansal Naresh 
47, Shri Narayan Rane 
48, Shri Prashanta Nanda 
49, Shri H.D. Devegowda 
50, Shri P. Wilson 
51, Shri Satish Chandra Dubey 
52, Shri Subrata Bakshi 
53, Shri Sharad Pawar 
54, Shri Venkataramana Rao Mopidevi 
55, Smt. Shanta Chhetri 
56, Shri  Brijlal 
57, Shri Syed Nasir Hussain 
58, Prof. Ram Gopal Yadav 
59, Shri Ashwini Vaishnaw 
60, Shri Surendra Singh Nagar 
61, Shri Jayant Chaudhary 
62, Shri Mallikarjun Kharge 
63, Dr. Dharmasthala Veerendra Heggade 
64, Shri Prem Chand Gupta 
65, Dr. Dr. Kanimozhi NVN Somu 
66, Smt. Jaya Bachchan 
67, Smt. Mamata Mohanta 
68, Shri Dharmendra Pradhan 
69, Shri R. Girirajan 
70, Dr. Wanweiroy Kharlukhi 
71, Shri Ahmad Ashfaque Karim 
72, Shri  Joginipally Santosh Kumar 
73, Shri Jawhar Sircar 
74, Shri Binoy Viswam 
75, Shri Ranjan Gogoi 
76, Shri K.R.N. Rajeshkumar 
77, Smt. Ramilaben Bara 
78, Shri Sushil Kumar Gupta 
79, Shri Rajmani Patel 
80, Shri Kartikeya Sharma 
81, Shri Dineshchandra Jemalbhai Anavadiya 
82, Shri Abir Ranjan Biswas 
83, Shri Rwngwra Narzary 
84, Shri M. Shanmugam 
85, Shri Parshottam Rupala 
86, Shri Bikash Ranjan 
87, Shri Ayodhya Rami Reddy 
88, Smt. Misha Bharti 
89, Shri K. Vanlalvena 
90, Shri S. Kalyanasundaram 
91,  Indu Bala Goswami 
92, Shri B. Lingaiah Yadav 
93, Shri Mahesh Jethmalani 
94, Shri Sandosh Kumar 
95, Shri  Harivansh 
96, Shri Subhasish Chakraborty 
97, Shri Birendra Prasad Baishya 
98, Dr. M. Thambidurai 
99, Smt.  Seema 
100, Dr. Dr. Kanimozhi NVN Somu 
101, Smt. Jaya Bachchan 
102, Smt. Mamata Mohanta 
103, Shri R. Girirajan 
104, Shri K.R. Suresh Reddy 
105, Shri Mallikarjun Kharge 
106, Shri  Joginipally Santosh Kumar 
